speaker,segment,repetition,frame,coord,point,pixel
1,s,1,3,x,83,444.86
1,s,1,3,x,84,448.42
1,s,1,3,x,85,451.96
1,s,1,3,x,86,455.45
1,s,1,3,x,87,458.95
1,s,1,3,x,88,462.44
1,s,1,3,x,89,465.93
1,s,1,3,x,90,469.43
1,s,1,3,x,91,472.92
1,s,1,3,x,92,476.3
1,s,1,3,x,93,479.6
1,s,1,3,x,94,482.91
1,s,1,3,x,95,486.22
1,s,1,3,x,96,489.47
1,s,1,3,x,97,492.35
1,s,1,3,x,98,495.23
1,s,1,3,x,99,498.12
1,s,1,3,x,100,501
1,s,1,3,y,1,302.45
1,s,1,3,y,2,299.07
1,s,1,3,y,3,295.68
1,s,1,3,y,4,292.3
1,s,1,3,y,5,288.92
1,s,1,3,y,6,285.54
1,s,1,3,y,7,282.15
1,s,1,3,y,8,278.84
1,s,1,3,y,9,275.55
1,s,1,3,y,10,272.26
1,s,1,3,y,11,269.07
1,s,1,3,y,12,265.95
1,s,1,3,y,13,262.82
1,s,1,3,y,14,259.84
1,s,1,3,y,15,257
1,s,1,3,y,16,254.16
1,s,1,3,y,17,251.38
1,s,1,3,y,18,248.68
1,s,1,3,y,19,245.97
1,s,1,3,y,20,243.38
1,s,1,3,y,21,241.1
1,s,1,3,y,22,238.82
1,s,1,3,y,23,236.54
1,s,1,3,y,24,234.29
1,s,1,3,y,25,232.04
1,s,1,3,y,26,229.8
1,s,1,3,y,27,227.71
1,s,1,3,y,28,225.62
1,s,1,3,y,29,223.53
1,s,1,3,y,30,221.89
1,s,1,3,y,31,220.29
1,s,1,3,y,32,218.69
1,s,1,3,y,33,217.04
1,s,1,3,y,34,215.39
1,s,1,3,y,35,213.74
1,s,1,3,y,36,212.31
1,s,1,3,y,37,210.99
1,s,1,3,y,38,209.67
1,s,1,3,y,39,208.44
1,s,1,3,y,40,207.28
1,s,1,3,y,41,206.13
1,s,1,3,y,42,205.01
1,s,1,3,y,43,203.94
1,s,1,3,y,44,202.88
1,s,1,3,y,45,201.98
1,s,1,3,y,46,201.42
1,s,1,3,y,47,200.87
1,s,1,3,y,48,200.44
1,s,1,3,y,49,200.47
1,s,1,3,y,50,200.5
1,s,1,3,y,51,200.55
1,s,1,3,y,52,200.88
1,s,1,3,y,53,201.2
1,s,1,3,y,54,201.53
1,s,1,3,y,55,202.22
1,s,1,3,y,56,202.93
1,s,1,3,y,57,203.64
1,s,1,3,y,58,204.4
1,s,1,3,y,59,205.17
1,s,1,3,y,60,205.94
1,s,1,3,y,61,206.73
1,s,1,3,y,62,207.53
1,s,1,3,y,63,208.33
1,s,1,3,y,64,209.2
1,s,1,3,y,65,210.1
1,s,1,3,y,66,211.01
1,s,1,3,y,67,211.91
1,s,1,3,y,68,212.82
1,s,1,3,y,69,213.84
1,s,1,3,y,70,214.9
1,s,1,3,y,71,215.96
1,s,1,3,y,72,217.02
1,s,1,3,y,73,218.09
1,s,1,3,y,74,219.28
1,s,1,3,y,75,220.46
1,s,1,3,y,76,221.65
1,s,1,3,y,77,222.84
1,s,1,3,y,78,224.02
1,s,1,3,y,79,225.21
1,s,1,3,y,80,226.39
1,s,1,3,y,81,227.58
1,s,1,3,y,82,228.77
1,s,1,3,y,83,229.95
1,s,1,3,y,84,231.14
1,s,1,3,y,85,232.38
1,s,1,3,y,86,233.74
1,s,1,3,y,87,235.11
1,s,1,3,y,88,236.48
1,s,1,3,y,89,237.85
1,s,1,3,y,90,239.21
1,s,1,3,y,91,240.58
1,s,1,3,y,92,242.22
1,s,1,3,y,93,243.99
1,s,1,3,y,94,245.76
1,s,1,3,y,95,247.52
1,s,1,3,y,96,249.39
1,s,1,3,y,97,251.79
1,s,1,3,y,98,254.2
1,s,1,3,y,99,256.6
1,s,1,3,y,100,259
1,s,1,4,x,1,196.9
1,s,1,4,x,2,198.28
1,s,1,4,x,3,199.67
1,s,1,4,x,4,201.05
1,s,1,4,x,5,202.43
1,s,1,4,x,6,203.8
1,s,1,4,x,7,205.18
1,s,1,4,x,8,206.85
1,s,1,4,x,9,208.59
1,s,1,4,x,10,210.34
1,s,1,4,x,11,212.24
1,s,1,4,x,12,214.2
1,s,1,4,x,13,216.17
1,s,1,4,x,14,218.33
1,s,1,4,x,15,220.6
1,s,1,4,x,16,222.88
1,s,1,4,x,17,225.28
1,s,1,4,x,18,227.77
1,s,1,4,x,19,230.27
1,s,1,4,x,20,232.95
1,s,1,4,x,21,235.85
1,s,1,4,x,22,238.75
1,s,1,4,x,23,241.7
1,s,1,4,x,24,244.74
1,s,1,4,x,25,247.78
1,s,1,4,x,26,250.87
